,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
392,-6.398201,1.7236727,10464_991_D3_3,4 7 21 22,"N. speckles,Golgi app.,PM,C. Junctions",EPHA2,ENSG00000142627,A549,P29317
460,-4.7573686,-0.4571975,1591_24_A7_1,0 4 14 18,"Nucleoplasm,N. speckles,Microtubules,MTOC",RBM39,ENSG00000131051,A-431,Q14498 A0A087X122 A0A0U1RQH7 A0A0U1RQW2 A8MYG5 F2Z2Z5 F2Z3E6 F8WF24 F8WF73 G3XAC6 H0Y4X3 H0Y6I9 H7BZG3 Q5QP22 Q5QP23
461,3.3312063,6.1076937,1591_24_A7_2,0 4 14 18,"Nucleoplasm,N. speckles,Microtubules,MTOC",RBM39,ENSG00000131051,A-431,Q14498 A0A087X122 A0A0U1RQH7 A0A0U1RQW2 A8MYG5 F2Z2Z5 F2Z3E6 F8WF24 F8WF73 G3XAC6 H0Y4X3 H0Y6I9 H7BZG3 Q5QP22 Q5QP23
974,0.33573022,3.7426124,19949_248_A8_2,12 21 25,"Actin fil.,PM,Cytosol",SSH3,ENSG00000172830,U-2 OS,Q8TE77 A0A087WWG1 C9JUG3 E9PIT5 E9PMS1
976,0.90742314,5.281949,19949_248_A8_1,12 21 25,"Actin fil.,PM,Cytosol",SSH3,ENSG00000172830,U-2 OS,Q8TE77 A0A087WWG1 C9JUG3 E9PIT5 E9PMS1
1313,-5.8728275,0.15215456,21886_268_A3_2,-1 4 16,"Unknow,N. speckles,Cyt. bridge",CYSRT1,ENSG00000197191,U-2 OS,A8MQ03 B8A4K4
1321,-6.7272563,0.7256981,21886_268_A3_1,-1 4 16,"Unknow,N. speckles,Cyt. bridge",CYSRT1,ENSG00000197191,U-2 OS,A8MQ03 B8A4K4
1330,-0.404698,1.3066587,49829_805_H8_1,0 24 25,"Nucleoplasm,Aggresome,Cytosol",SALL1,ENSG00000103449,HEK 293,Q9NSC2 H3BQ32 H3BSM9
1331,-0.25457093,1.369534,49829_805_H8_2,0 24 25,"Nucleoplasm,Aggresome,Cytosol",SALL1,ENSG00000103449,HEK 293,Q9NSC2 H3BQ32 H3BSM9
1346,-1.656481,7.362025,61441_1394_E7_2,4 13 25,"N. speckles,F. a. sites,Cytosol",LPXN,ENSG00000110031,U-2 OS,O60711 B7Z5P7 E9PNX9
1348,-1.9063038,7.737738,61441_1394_E7_3,4 13 25,"N. speckles,F. a. sites,Cytosol",LPXN,ENSG00000110031,U-2 OS,O60711 B7Z5P7 E9PNX9
1405,2.3466055,7.86714,19096_248_D1_1,4 16 25,"N. speckles,Cyt. bridge,Cytosol",THOC1,ENSG00000079134,U-2 OS,Q96FV9 A0A087WWS1 A0A087WY84 J3KRD7 J3KT14 J3QQZ3 R4GMN4 R4GN58
1441,-5.796726,0.14921449,19096_248_D1_2,4 16 25,"N. speckles,Cyt. bridge,Cytosol",THOC1,ENSG00000079134,U-2 OS,Q96FV9 A0A087WWS1 A0A087WY84 J3KRD7 J3KT14 J3QQZ3 R4GMN4 R4GN58
1564,-6.570947,1.7927116,19339_277_A2_1,4 21 25,"N. speckles,PM,Cytosol",SLC4A2,ENSG00000164889,U-251 MG,P04920 A0A7I2V5T6 C9J035 C9J459 C9J722 C9J9M9 C9JVC2
1571,-6.530394,1.8003014,19339_264_A2_2,4 21 25,"N. speckles,PM,Cytosol",SLC4A2,ENSG00000164889,U-2 OS,P04920 A0A7I2V5T6 C9J035 C9J459 C9J722 C9J9M9 C9JVC2
1587,-6.603373,1.800649,19339_277_A2_2,4 21 25,"N. speckles,PM,Cytosol",SLC4A2,ENSG00000164889,U-251 MG,P04920 A0A7I2V5T6 C9J035 C9J459 C9J722 C9J9M9 C9JVC2
1595,-6.548912,1.8085716,19339_264_A2_1,4 21 25,"N. speckles,PM,Cytosol",SLC4A2,ENSG00000164889,U-2 OS,P04920 A0A7I2V5T6 C9J035 C9J459 C9J722 C9J9M9 C9JVC2
1596,-6.471161,1.8128688,19339_263_A2_2,4 21 25,"N. speckles,PM,Cytosol",SLC4A2,ENSG00000164889,A-431,P04920 A0A7I2V5T6 C9J035 C9J459 C9J722 C9J9M9 C9JVC2
1622,-6.567258,1.7689582,19339_263_A2_1,4 21 25,"N. speckles,PM,Cytosol",SLC4A2,ENSG00000164889,A-431,P04920 A0A7I2V5T6 C9J035 C9J459 C9J722 C9J9M9 C9JVC2
1675,-6.4495883,1.4632657,20965_178_C10_2,4 18 25,"N. speckles,MTOC,Cytosol",HAUS6,ENSG00000147874,A-431,Q7Z4H7 Q5SYF9 Q5VY60
1676,-6.336189,1.3769953,20965_178_C10_1,4 18 25,"N. speckles,MTOC,Cytosol",HAUS6,ENSG00000147874,A-431,Q7Z4H7 Q5SYF9 Q5VY60
1679,-6.919618,1.2528635,52062_1125_H10_4,-1 4 25,"Unknow,N. speckles,Cytosol",CHIC1,ENSG00000204116,A549,Q5VXU3 B7Z4S5 R4GN46
1681,-7.107383,1.3912724,52062_1125_H10_10,-1 4 25,"Unknow,N. speckles,Cytosol",CHIC1,ENSG00000204116,A549,Q5VXU3 B7Z4S5 R4GN46
1683,-6.782104,0.71325827,52062_1055_D4_2,-1 4 25,"Unknow,N. speckles,Cytosol",CHIC1,ENSG00000204116,U-2 OS,Q5VXU3 B7Z4S5 R4GN46
1684,-6.6843266,0.6908709,52062_1055_D4_1,-1 4 25,"Unknow,N. speckles,Cytosol",CHIC1,ENSG00000204116,U-2 OS,Q5VXU3 B7Z4S5 R4GN46
1692,-2.1952848,3.778663,20965_177_C10_2,4 18 25,"N. speckles,MTOC,Cytosol",HAUS6,ENSG00000147874,U-251 MG,Q7Z4H7 Q5SYF9 Q5VY60
1703,-6.685616,1.2625511,20965_1772_B2_6,4 18 25,"N. speckles,MTOC,Cytosol",HAUS6,ENSG00000147874,U-2 OS,Q7Z4H7 Q5SYF9 Q5VY60
1704,-6.3992767,1.6379687,20965_1772_B2_7,4 18 25,"N. speckles,MTOC,Cytosol",HAUS6,ENSG00000147874,U-2 OS,Q7Z4H7 Q5SYF9 Q5VY60
1705,-2.1950822,3.6411042,20965_177_C10_1,4 18 25,"N. speckles,MTOC,Cytosol",HAUS6,ENSG00000147874,U-251 MG,Q7Z4H7 Q5SYF9 Q5VY60
2095,-6.6458383,0.5664434,53668_1334_H11_1,-1 4 21,"Unknow,N. speckles,PM",EEPD1,ENSG00000122547,Hep G2,Q7L9B9 H7C4A5
2114,-6.6533375,0.6061056,53668_1334_H11_2,-1 4 21,"Unknow,N. speckles,PM",EEPD1,ENSG00000122547,Hep G2,Q7L9B9 H7C4A5
2117,-6.8585553,0.9671887,53668_883_G3_1,-1 4 21,"Unknow,N. speckles,PM",EEPD1,ENSG00000122547,PC-3,Q7L9B9 H7C4A5
2118,-6.869894,1.0154109,53668_883_G3_2,-1 4 21,"Unknow,N. speckles,PM",EEPD1,ENSG00000122547,PC-3,Q7L9B9 H7C4A5
2260,-6.298895,1.6529083,43425_473_E5_1,4 21 25,"N. speckles,PM,Cytosol",PHLDB3,ENSG00000176531,A-431,Q6NSJ2 M0QXT7 M0R038 M0R353 M0R3I7
2283,-6.6301713,1.8003151,43425_473_E5_2,4 21 25,"N. speckles,PM,Cytosol",PHLDB3,ENSG00000176531,A-431,Q6NSJ2 M0QXT7 M0R038 M0R353 M0R3I7
2286,-6.4712176,1.7782339,28467_254_D7_1,4 21 25,"N. speckles,PM,Cytosol",SDE2,ENSG00000143751,U-2 OS,Q6IQ49
2303,-6.5418377,1.8133279,28467_254_D7_2,4 21 25,"N. speckles,PM,Cytosol",SDE2,ENSG00000143751,U-2 OS,Q6IQ49
2444,-5.750953,0.21350148,44198_814_B10_1,4 19 27,"N. speckles,Centrosome,Rods & Rings",GNB5,ENSG00000069966,A-431,O14775 H0YLU1 H0YNW7 Q96F32
2445,-5.657587,0.7874517,44198_814_B10_2,4 19 27,"N. speckles,Centrosome,Rods & Rings",GNB5,ENSG00000069966,A-431,O14775 H0YLU1 H0YNW7 Q96F32
2525,-6.347743,0.99985033,42462_1573_A1_2,4 19 21,"N. speckles,Centrosome,PM",CRIP1,ENSG00000213145,HaCaT,P50238
2526,-6.255577,1.0143998,42462_1573_A1_3,4 19 21,"N. speckles,Centrosome,PM",CRIP1,ENSG00000213145,HaCaT,P50238
2527,-5.8249745,1.1510438,42462_480_F5_2,4 19 25,"N. speckles,Centrosome,Cytosol",CRIP1,ENSG00000213145,U-2 OS,P50238
2528,-5.8610687,1.1128465,42462_480_F5_3,4 19 25,"N. speckles,Centrosome,Cytosol",CRIP1,ENSG00000213145,U-2 OS,P50238
2660,-2.306525,3.611373,41836_754_H5_2,4 18 21,"N. speckles,MTOC,PM",LMTK2,ENSG00000164715,U-251 MG,Q8IWU2
2679,-2.1494944,3.5635333,41836_754_H5_4,4 18 21,"N. speckles,MTOC,PM",LMTK2,ENSG00000164715,U-251 MG,Q8IWU2
2680,-1.539986,3.7745562,41836_813_H5_1,4 18 21,"N. speckles,MTOC,PM",LMTK2,ENSG00000164715,A-431,Q8IWU2
2681,-6.4037547,1.7863295,41836_758_H5_1,4 18 21,"N. speckles,MTOC,PM",LMTK2,ENSG00000164715,U-2 OS,Q8IWU2
2723,-6.9464483,1.1021842,28710_1711_B12_1,4 21 26,"N. speckles,PM,C. bodies",IPCEF1,ENSG00000074706,SH-SY5Y,Q8WWN9 A0A2Q2T6B6 E5RGB6 E5RGN6 E5RJQ7 E5RK08
2730,-6.949131,0.8505651,28710_1711_B12_3,4 21 26,"N. speckles,PM,C. bodies",IPCEF1,ENSG00000074706,SH-SY5Y,Q8WWN9 A0A2Q2T6B6 E5RGB6 E5RGN6 E5RJQ7 E5RK08
2740,-0.34869847,3.4588697,41836_758_H5_2,4 18 21,"N. speckles,MTOC,PM",LMTK2,ENSG00000164715,U-2 OS,Q8IWU2
2741,-2.092677,3.2796376,41836_813_H5_2,4 18 21,"N. speckles,MTOC,PM",LMTK2,ENSG00000164715,A-431,Q8IWU2
2875,-6.3979077,1.7768654,59863_1006_E9_1,4 21 22,"N. speckles,PM,C. Junctions",ERBIN,ENSG00000112851,U-2 OS,Q96RT1 B4DIP2 H0Y9E8 H0YA04
2876,-6.3990407,1.7887453,59863_1006_E9_2,4 21 22,"N. speckles,PM,C. Junctions",ERBIN,ENSG00000112851,U-2 OS,Q96RT1 B4DIP2 H0Y9E8 H0YA04
2877,-1.7040124,5.4491577,59863_1011_E9_4,4 21 22,"N. speckles,PM,C. Junctions",ERBIN,ENSG00000112851,A-431,Q96RT1 B4DIP2 H0Y9E8 H0YA04
2878,-1.9921259,5.6878724,59863_1011_E9_5,4 21 22,"N. speckles,PM,C. Junctions",ERBIN,ENSG00000112851,A-431,Q96RT1 B4DIP2 H0Y9E8 H0YA04
2879,-0.34894612,4.179455,59863_1242_F4_2,4 21 22,"N. speckles,PM,C. Junctions",ERBIN,ENSG00000112851,U-251 MG,Q96RT1 B4DIP2 H0Y9E8 H0YA04
2880,-0.3828499,4.217684,59863_1242_F4_3,4 21 22,"N. speckles,PM,C. Junctions",ERBIN,ENSG00000112851,U-251 MG,Q96RT1 B4DIP2 H0Y9E8 H0YA04
2926,-6.695363,1.7931564,31595_517_A1_1,4 21 25,"N. speckles,PM,Cytosol",ARHGAP18,ENSG00000146376,U-2 OS,Q8N392
2951,-6.7337136,1.8096089,31595_517_A1_2,4 21 25,"N. speckles,PM,Cytosol",ARHGAP18,ENSG00000146376,U-2 OS,Q8N392
2970,2.0393453,0.77566296,47926_977_A10_2,-1 4 25,"Unknow,N. speckles,Cytosol",LNP1,ENSG00000206535,PC-3,A1A4G5 C9J587 F8WF60
2971,2.2231276,0.7579113,47926_977_A10_1,-1 4 25,"Unknow,N. speckles,Cytosol",LNP1,ENSG00000206535,PC-3,A1A4G5 C9J587 F8WF60
3081,-6.4926276,1.7911379,41166_479_E10_4,4 21 25,"N. speckles,PM,Cytosol",DNAAF1,ENSG00000154099,U-2 OS,Q8NEP3 H3BNQ4 H3BP51 H3BV09
3082,-6.6290936,1.7895737,41166_479_E10_3,4 21 25,"N. speckles,PM,Cytosol",DNAAF1,ENSG00000154099,U-2 OS,Q8NEP3 H3BNQ4 H3BP51 H3BV09
3085,-6.3238473,1.7911572,41166_477_E10_2,4 21 25,"N. speckles,PM,Cytosol",DNAAF1,ENSG00000154099,U-251 MG,Q8NEP3 H3BNQ4 H3BP51 H3BV09
3086,-6.4324436,1.7669704,41166_477_E10_1,4 21 25,"N. speckles,PM,Cytosol",DNAAF1,ENSG00000154099,U-251 MG,Q8NEP3 H3BNQ4 H3BP51 H3BV09
3088,-6.5240936,1.5386255,41166_475_E10_3,4 21 25,"N. speckles,PM,Cytosol",DNAAF1,ENSG00000154099,A-431,Q8NEP3 H3BNQ4 H3BP51 H3BV09
3090,-6.487684,1.5620801,41166_475_E10_2,4 21 25,"N. speckles,PM,Cytosol",DNAAF1,ENSG00000154099,A-431,Q8NEP3 H3BNQ4 H3BP51 H3BV09
3163,0.4845114,3.1236663,31255_402_C4_2,4 21 25,"N. speckles,PM,Cytosol",SDE2,ENSG00000143751,U-2 OS,Q6IQ49
3164,0.44720912,3.1945484,31255_402_C4_3,4 21 25,"N. speckles,PM,Cytosol",SDE2,ENSG00000143751,U-2 OS,Q6IQ49
3165,-0.8408325,1.4360502,31255_405_C4_1,0 21 25,"Nucleoplasm,PM,Cytosol",SDE2,ENSG00000143751,A-431,Q6IQ49
3167,-0.33593544,1.8164798,31255_405_C4_2,0 21 25,"Nucleoplasm,PM,Cytosol",SDE2,ENSG00000143751,A-431,Q6IQ49
3168,-0.33378273,2.1400063,31255_409_C4_1,0 21 25,"Nucleoplasm,PM,Cytosol",SDE2,ENSG00000143751,U-251 MG,Q6IQ49
3169,-0.20517208,2.0229247,31255_409_C4_3,0 21 25,"Nucleoplasm,PM,Cytosol",SDE2,ENSG00000143751,U-251 MG,Q6IQ49
3304,-6.4792156,1.6861669,46175_605_E12_2,4 21 25,"N. speckles,PM,Cytosol",C1orf35,ENSG00000143793,U-251 MG,Q9BU76
3305,-6.4681597,1.6275473,46175_605_E12_1,4 21 25,"N. speckles,PM,Cytosol",C1orf35,ENSG00000143793,U-251 MG,Q9BU76
3334,-5.6405997,0.9883103,47130_1356_F9_2,4 14 25,"N. speckles,Microtubules,Cytosol",IRX5,ENSG00000176842,MCF7,P78411 A2RRB5 H0YML8
3335,-5.8511314,1.0968362,47130_1356_F9_3,4 14 25,"N. speckles,Microtubules,Cytosol",IRX5,ENSG00000176842,MCF7,P78411 A2RRB5 H0YML8
3342,-1.225646,1.1981533,47138_1281_F9_1,0 12 25,"Nucleoplasm,Actin fil.,Cytosol",SCAND1,ENSG00000171222,HEK 293,P57086
3343,-1.2106062,1.2060227,47138_1281_F9_4,0 12 25,"Nucleoplasm,Actin fil.,Cytosol",SCAND1,ENSG00000171222,HEK 293,P57086
3366,0.38742462,6.219586,47138_1313_F9_3,0 12 25,"Nucleoplasm,Actin fil.,Cytosol",SCAND1,ENSG00000171222,U-2 OS,P57086
3392,0.35808608,6.165834,47138_1313_F9_4,0 12 25,"Nucleoplasm,Actin fil.,Cytosol",SCAND1,ENSG00000171222,U-2 OS,P57086
3440,-1.3123935,-2.596344,57614_1242_D2_2,-1 0 25,"Unknow,Nucleoplasm,Cytosol",RUFY1,ENSG00000176783,U-251 MG,Q96T51 H0Y9Y8 H0YA47 H0YAC8 J3KPP6
3441,-0.88460237,-2.1013424,57614_1242_D2_3,-1 0 25,"Unknow,Nucleoplasm,Cytosol",RUFY1,ENSG00000176783,U-251 MG,Q96T51 H0Y9Y8 H0YA47 H0YAC8 J3KPP6
3918,-6.6027308,1.6160088,996_55_A9_2,4 21 25,"N. speckles,PM,Cytosol",ARMCX5,ENSG00000125962,U-251 MG,Q6P1M9 A0A0G2JLJ9 S4R3L0 S4R3L5
3919,-6.679533,1.4204901,996_55_A9_1,4 21 25,"N. speckles,PM,Cytosol",ARMCX5,ENSG00000125962,U-251 MG,Q6P1M9 A0A0G2JLJ9 S4R3L0 S4R3L5
3987,-0.016930643,4.7945037,38546_448_B2_4,4 12 21,"N. speckles,Actin fil.,PM",FCHSD2,ENSG00000137478,U-2 OS,O94868 B8ZZW8 C9JM66 E7ENZ2 E9PG19 H0Y6M2 H0YG35
3989,-6.248368,1.1768914,38546_448_B2_5,4 12 21,"N. speckles,Actin fil.,PM",FCHSD2,ENSG00000137478,U-2 OS,O94868 B8ZZW8 C9JM66 E7ENZ2 E9PG19 H0Y6M2 H0YG35
4123,-6.619991,1.33166,14861_121_G5_2,4 11 21,"N. speckles,Int. fil.,PM",SLC31A2,ENSG00000136867,U-251 MG,O15432 F2Z3D2
4125,-6.470638,1.2160901,14861_121_G5_1,4 11 21,"N. speckles,Int. fil.,PM",SLC31A2,ENSG00000136867,U-251 MG,O15432 F2Z3D2
4134,0.25982434,5.261776,38546_435_B2_1,4 12 21,"N. speckles,Actin fil.,PM",FCHSD2,ENSG00000137478,A-431,O94868 B8ZZW8 C9JM66 E7ENZ2 E9PG19 H0Y6M2 H0YG35
4136,0.7368896,5.3683543,38546_435_B2_2,4 12 21,"N. speckles,Actin fil.,PM",FCHSD2,ENSG00000137478,A-431,O94868 B8ZZW8 C9JM66 E7ENZ2 E9PG19 H0Y6M2 H0YG35
4140,-1.7058551,7.422257,38546_445_B2_3,4 13 21,"N. speckles,F. a. sites,PM",FCHSD2,ENSG00000137478,U-251 MG,O94868 B8ZZW8 C9JM66 E7ENZ2 E9PG19 H0Y6M2 H0YG35
4144,-6.739729,1.3843443,38546_445_B2_4,4 13 21,"N. speckles,F. a. sites,PM",FCHSD2,ENSG00000137478,U-251 MG,O94868 B8ZZW8 C9JM66 E7ENZ2 E9PG19 H0Y6M2 H0YG35
4201,2.5259616,0.70116234,38804_419_A3_5,-1 4 25,"Unknow,N. speckles,Cytosol",RUFY1,ENSG00000176783,U-251 MG,Q96T51 H0Y9Y8 H0YA47 H0YAC8 J3KPP6
4263,2.535637,0.6070863,38804_419_A3_6,-1 4 25,"Unknow,N. speckles,Cytosol",RUFY1,ENSG00000176783,U-251 MG,Q96T51 H0Y9Y8 H0YA47 H0YAC8 J3KPP6
4458,-5.68239,1.0978057,10036_970_G1_4,4 21 25,"N. speckles,PM,Cytosol",GNAQ,ENSG00000156052,U-2 OS,P50148 B1AM21
4459,-6.292618,1.3115935,10036_973_A9_1,4 21 25,"N. speckles,PM,Cytosol",GNAQ,ENSG00000156052,A-431,P50148 B1AM21
4464,-6.322851,1.3307443,10036_973_A9_2,4 21 25,"N. speckles,PM,Cytosol",GNAQ,ENSG00000156052,A-431,P50148 B1AM21
4472,-0.23256873,4.616756,10464_983_D3_2,7 21 22,"Golgi app.,PM,C. Junctions",EPHA2,ENSG00000142627,U-2 OS,P29317
4479,-0.2731623,4.630409,10464_983_D3_4,7 21 22,"Golgi app.,PM,C. Junctions",EPHA2,ENSG00000142627,U-2 OS,P29317
4481,-6.0233717,1.0996153,10036_970_G1_1,4 21 25,"N. speckles,PM,Cytosol",GNAQ,ENSG00000156052,U-2 OS,P50148 B1AM21
4497,-6.3167567,1.2732626,10036_962_G1_1,4 21 25,"N. speckles,PM,Cytosol",GNAQ,ENSG00000156052,MCF7,P50148 B1AM21
4500,-6.3819876,1.2961683,10036_962_G1_2,4 21 25,"N. speckles,PM,Cytosol",GNAQ,ENSG00000156052,MCF7,P50148 B1AM21
4587,-2.174285,-7.061255,37261_632_C4_2,-1 3 25,"Unknow,N. fibrillar c.,Cytosol",SIRT7,ENSG00000187531,U-2 OS,Q9NRC8 I3L2A4 I3L480
4604,-2.1499078,-7.029106,37261_632_C4_1,-1 3 25,"Unknow,N. fibrillar c.,Cytosol",SIRT7,ENSG00000187531,U-2 OS,Q9NRC8 I3L2A4 I3L480
4664,-0.0710786,4.786564,18467_177_C7_2,4 21 25,"N. speckles,PM,Cytosol",IL16,ENSG00000172349,U-251 MG,Q14005 H0YKB7 H0YLB1 H0YLH9 H0YLL1 H3BN12 H3BT15
4687,-0.09249732,4.8269114,18467_247_C7_2,4 21 25,"N. speckles,PM,Cytosol",IL16,ENSG00000172349,U-2 OS,Q14005 H0YKB7 H0YLB1 H0YLH9 H0YLL1 H3BN12 H3BT15
4695,-0.14813545,4.6252694,18467_247_C7_1,4 21 25,"N. speckles,PM,Cytosol",IL16,ENSG00000172349,U-2 OS,Q14005 H0YKB7 H0YLB1 H0YLH9 H0YLL1 H3BN12 H3BT15
4696,-0.043327574,4.621686,18467_178_C7_2,4 21 25,"N. speckles,PM,Cytosol",IL16,ENSG00000172349,A-431,Q14005 H0YKB7 H0YLB1 H0YLH9 H0YLL1 H3BN12 H3BT15
4716,-0.14750378,4.7515235,18467_178_C7_1,4 21 25,"N. speckles,PM,Cytosol",IL16,ENSG00000172349,A-431,Q14005 H0YKB7 H0YLB1 H0YLH9 H0YLL1 H3BN12 H3BT15
4775,-0.105406694,4.767114,18467_177_C7_1,4 21 25,"N. speckles,PM,Cytosol",IL16,ENSG00000172349,U-251 MG,Q14005 H0YKB7 H0YLB1 H0YLH9 H0YLL1 H3BN12 H3BT15
4822,-6.127475,1.0909536,46838_837_A6_7,1 4 21,"N. membrane,N. speckles,PM",GRK5,ENSG00000198873,A-431,P34947
4825,-6.076518,1.0366057,46838_1752_G8_8_cr5804e4d4a9726,1 4 21,"N. membrane,N. speckles,PM",GRK5,ENSG00000198873,HUVEC TERT2,P34947
4827,-0.17579004,3.6361196,46838_1752_G8_18_cr5804e4de4d29f,1 4 21,"N. membrane,N. speckles,PM",GRK5,ENSG00000198873,HUVEC TERT2,P34947
4851,-5.7886753,0.88740176,46838_763_H3_1,1 4 25,"N. membrane,N. speckles,Cytosol",GRK5,ENSG00000198873,Hep G2,P34947
4867,4.016072,-5.857725,46838_837_A6_6,1 4 21,"N. membrane,N. speckles,PM",GRK5,ENSG00000198873,A-431,P34947
4873,-5.902066,0.95250434,46838_763_H3_2,1 4 25,"N. membrane,N. speckles,Cytosol",GRK5,ENSG00000198873,Hep G2,P34947
4907,-7.094997,1.1544234,29435_273_D5_3,2 4 25,"Nucleoli,N. speckles,Cytosol",GRAMD2,ENSG00000175318,U-251 MG,Q8IUY3 H3BTA1 H3BTF7 H3BTY3 H3BUI8
4922,-7.1339173,1.1763773,29435_273_D5_4,2 4 25,"Nucleoli,N. speckles,Cytosol",GRAMD2,ENSG00000175318,U-251 MG,Q8IUY3 H3BTA1 H3BTF7 H3BTY3 H3BUI8
4926,-6.9553075,1.2424685,29435_275_D5_2,2 4 25,"Nucleoli,N. speckles,Cytosol",GRAMD2,ENSG00000175318,U-2 OS,Q8IUY3 H3BTA1 H3BTF7 H3BTY3 H3BUI8
4930,-6.9414673,1.1748353,29435_275_D5_1,2 4 25,"Nucleoli,N. speckles,Cytosol",GRAMD2,ENSG00000175318,U-2 OS,Q8IUY3 H3BTA1 H3BTF7 H3BTY3 H3BUI8
4932,-6.958198,1.0431437,29435_274_D5_2,2 4 25,"Nucleoli,N. speckles,Cytosol",GRAMD2,ENSG00000175318,A-431,Q8IUY3 H3BTA1 H3BTF7 H3BTY3 H3BUI8
4933,-6.619528,0.97742873,29435_274_D5_1,2 4 25,"Nucleoli,N. speckles,Cytosol",GRAMD2,ENSG00000175318,A-431,Q8IUY3 H3BTA1 H3BTF7 H3BTY3 H3BUI8
5123,0.6018391,-4.1962967,42025_464_H10_1,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",HEATR5B,ENSG00000008869,U-2 OS,Q9P2D3 H7C2X3
5159,0.14714065,-4.1377997,42025_464_H10_2,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",HEATR5B,ENSG00000008869,U-2 OS,Q9P2D3 H7C2X3
5170,0.7817698,-4.4120545,42025_461_H10_1,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",HEATR5B,ENSG00000008869,A-431,Q9P2D3 H7C2X3
5194,0.71252984,-4.3027377,42025_461_H10_2,0 2 25,"Nucleoplasm,Nucleoli,Cytosol",HEATR5B,ENSG00000008869,A-431,Q9P2D3 H7C2X3
5638,-6.8621454,0.72241503,28710_1617_C7_2,2 4 26,"Nucleoli,N. speckles,C. bodies",IPCEF1,ENSG00000074706,U-2 OS,Q8WWN9 A0A2Q2T6B6 E5RGB6 E5RGN6 E5RJQ7 E5RK08
5641,-6.9109325,0.8017187,28710_1617_C7_1,2 4 26,"Nucleoli,N. speckles,C. bodies",IPCEF1,ENSG00000074706,U-2 OS,Q8WWN9 A0A2Q2T6B6 E5RGB6 E5RGN6 E5RJQ7 E5RK08
6439,-5.512866,0.8798293,30991_591_F2_2,4 7 25,"N. speckles,Golgi app.,Cytosol",HDAC5,ENSG00000108840,A-431,Q9UQL6 K7EJL4 K7EJL6 K7EJZ7 K7ES01
6441,0.5637334,-1.3806274,30991_591_F2_1,4 7 25,"N. speckles,Golgi app.,Cytosol",HDAC5,ENSG00000108840,A-431,Q9UQL6 K7EJL4 K7EJL6 K7EJZ7 K7ES01
6447,-5.801625,1.0589759,30991_579_F2_2,4 7 25,"N. speckles,Golgi app.,Cytosol",HDAC5,ENSG00000108840,U-251 MG,Q9UQL6 K7EJL4 K7EJL6 K7EJZ7 K7ES01
