	CDD	Short name
215	cd08639	DNA_pol_A_Aquificae_like
216	cd08640	DNA_pol_A_plastid_like
217	cd08641	DNA_pol_gammaA
218	cd08642	DNA_pol_A_pol_I_A
219	cd08643	DNA_pol_A_pol_I_B
220	cd08768	Cdc6_C
221	cd08773	FpgNei_N
222	cd08891	SRPBCC_CalC
223	cd08965	EcNei-like_N
224	cd08966	EcFpg-like_N
225	cd08967	MeNeil1_N
226	cd08968	MeNeil2_N
227	cd08969	MeNeil3_N
228	cd08970	AcNei1_N
229	cd08971	AcNei2_N
230	cd08972	PF_Nei_N
231	cd08973	BaFpgNei_N_1
232	cd08974	BaFpgNei_N_2
233	cd08975	BaFpgNei_N_3
234	cd08976	BaFpgNei_N_4
235	cd09073	ExoIII_AP-endo
236	cd09075	DNase1-like
237	cd09085	Mth212-like_AP-endo
238	cd09086	ExoIII-like_AP-endo
239	cd09087	Ape1-like_AP-endo
240	cd09088	Ape2-like_AP-endo
241	cd09644	Csn2
242	cd09758	Csn2
243	cd09867	PIN_FEN1
244	cd09897	H3TH_FEN1-XPG-like
245	cd09898	H3TH_53EXO
246	cd09899	H3TH_T4-like
247	cd09900	H3TH_XPG-like
248	cd09901	H3TH_FEN1-like
249	cd09903	H3TH_FEN1-Arc
250	cd09904	H3TH_XPG
251	cd09905	H3TH_GEN1
252	cd09906	H3TH_YEN1
253	cd09907	H3TH_FEN1-Euk
254	cd09908	H3TH_EXO1
255	cd10015	BfiI_C_EcoRII_N_B3
256	cd10016	EcoRII_N
257	cd10017	B3_DNA
258	cd10018	BfiI_C
259	cd10281	Nape_like_AP-endo
260	cd10282	DNase1
261	cd10283	MnuA_DNase1-like
262	cd10434	GIY-YIG_UvrC_Cho
263	cd10435	GIY-YIG_RE_Eco29kI_like
264	cd10436	GIY-YIG_EndoII_Hpy188I_like
265	cd10452	GIY-YIG_RE_Eco29kI_NgoMIII
266	cd10488	MH1_R-SMAD
267	cd10489	MH1_SMAD_6_7
268	cd10490	MH1_SMAD_1_5_9
269	cd10491	MH1_SMAD_2_3
270	cd10492	MH1_SMAD_4
271	cd10493	MH1_SMAD_6
272	cd10494	MH1_SMAD_7
273	cd11387	bHLHzip_USF_MITF
274	cd11388	bHLH_ScINO2_like
275	cd11389	bHLH-O_HERP_like
276	cd11390	bHLH_TS
277	cd11391	bHLH_PAS
278	cd11392	bHLH_ScPHO4_like
279	cd11393	bHLH_AtbHLH_like
280	cd11394	bHLHzip_SREBP
281	cd11395	bHLHzip_SREBP_like
282	cd11396	bHLHzip_USF
283	cd11397	bHLHzip_MITF_like
284	cd11398	bHLHzip_scCBP1
285	cd11399	bHLHzip_scHMS1_like
286	cd11400	bHLHzip_Myc
287	cd11401	bHLHzip_Mad
288	cd11402	bHLHzip_Mnt
289	cd11403	bHLH_scINO4_like
290	cd11404	bHLHzip_Mlx_like
291	cd11405	bHLHzip_MLXIP_like
292	cd11406	bHLHzip_Max
293	cd11407	bHLH-O_HERP
294	cd11408	bHLH-O_HELT
295	cd11409	bHLH-O_DEC
296	cd11410	bHLH_O_HES
297	cd11411	bHLH_TS_MRF
298	cd11412	bHLH_TS_TWIST1
299	cd11413	bHLH_TS_TAL_LYL
300	cd11414	bHLH_TS_HEN
301	cd11415	bHLH_TS_FERD3L_NATO3
302	cd11416	bHLH_TS_ceHLH13_like
303	cd11417	bHLH_TS_PTF1A
304	cd11418	bHLH_TS_ASCL
305	cd11419	bHLHzip_TFAP4
306	cd11420	bHLH_E-protein
307	cd11421	bHLH_TS_ATOH8
308	cd11422	bHLH_TS_FIGLA
309	cd11423	bHLH_TS_musculin_like
310	cd11424	bHLH_TS_OUT
311	cd11425	bHLH_TS_Mesp_like
312	cd11426	bHLH_TS_MIST1_like
313	cd11427	bHLH_TS_NeuroD
314	cd11428	bHLH_TS_NGN
315	cd11429	bHLH_TS_OLIG
316	cd11430	bHLH_TS_ATOH1_like
317	cd11431	bHLH_TS_taxi_Dei
318	cd11432	bHLH-PAS_NPAS1_3_like
319	cd11433	bHLH-PAS_HIF
320	cd11434	bHLH-PAS_SIM
321	cd11435	bHLH-PAS_AhRR
322	cd11436	bHLH-PAS_AhR
323	cd11437	bHLH-PAS_ARNT_like
324	cd11438	bHLH-PAS_ARNTL_PASD3
325	cd11439	bHLH-PAS_SRC
326	cd11440	bHLH-O_Cwo_like
327	cd11441	bHLH-PAS_CLOCK_like
328	cd11442	bHLH_AtPRE_like
329	cd11443	bHLH_AtAMS_like
330	cd11444	bHLH_AtIBH1_like
331	cd11445	bHLH_AtPIF_like
332	cd11446	bHLH_AtILR3_like
333	cd11447	bHLH-O_HEYL
334	cd11448	bHLH_AtFAMA_like
335	cd11449	bHLH_AtAIB_like
336	cd11450	bHLH_AtFIT_like
337	cd11451	bHLH_AtTT8_like
338	cd11452	bHLH_AtNAI1_like
339	cd11453	bHLH_AtBIM_like
340	cd11454	bHLH_AtIND_like
341	cd11455	bHLH_AtAIG1_like
342	cd11456	bHLHzip_N-Myc_like
343	cd11457	bHLHzip_L-Myc
344	cd11458	bHLHzip_c-Myc
345	cd11459	bHLH-O_HES1_4
346	cd11460	bHLH-O_HES6
347	cd11461	bHLH-O_HES5
348	cd11462	bHLH-O_HES7
349	cd11463	bHLH-O_HES2
350	cd11464	bHLH_TS_TWIST
351	cd11465	bHLH_TS_scleraxis_like
352	cd11466	bHLH_TS_HAND
353	cd11467	bHLH_E-protein_Da_like
354	cd11468	bHLH_TS_bHLHe22_like
355	cd11469	bHLH-PAS_ARNTL2_PASD9
356	cd11470	bHLH_TS_TCF15_paraxis
357	cd11471	bHLH_TS_HAND2
358	cd11583	Orc6_mid
359	cd11602	Ndc10
360	cd11606	COE_DBD
361	cd11655	rap1_myb-like
362	cd11658	SANT_DMAP1_like
363	cd11659	SANT_CDC5_II
364	cd11660	SANT_TRF
365	cd11661	SANT_MTA3_like
366	cd11719	FANC
367	cd11720	FANCI
368	cd11721	FANCD2
369	cd12193	bZIP_GCN4
370	cd12217	Stu0660_Csn2
371	cd12218	Csn2
372	cd12322	RRM2_TDP43
373	cd12329	RRM2_hnRNPD_like
374	cd12578	RRM1_hnRNPA_like
375	cd12583	RRM2_hnRNPD
376	cd12584	RRM2_hnRNPAB
377	cd12585	RRM2_hnRPDL
378	cd12761	RRM1_hnRNPA1
379	cd12762	RRM1_hnRNPA2B1
380	cd12763	RRM1_hnRNPA3
381	cd13303	PH1-like_Rtt106
382	cd13304	PH2-like_Rtt106
383	cd13831	HU
384	cd13832	IHF
385	cd13833	HU_IHF_like
386	cd13834	HU_like
387	cd13835	IHF_A
388	cd13836	IHF_B
389	cd14435	SPO1_TF1_like
390	cd14651	ZIP_Put3
391	cd14654	ZIP_Gal4
392	cd14655	ZIP_Hap1
393	cd14686	bZIP
394	cd14687	bZIP_ATF2
395	cd14688	bZIP_YAP
396	cd14689	bZIP_CREB3
397	cd14690	bZIP_CREB1
398	cd14691	bZIP_XBP1
399	cd14692	bZIP_ATF4
400	cd14693	bZIP_CEBP
401	cd14694	bZIP_NFIL3
402	cd14695	bZIP_HLF
403	cd14696	bZIP_Jun
404	cd14697	bZIP_Maf
405	cd14698	bZIP_CNC
406	cd14699	bZIP_Fos_like
407	cd14700	bZIP_ATF6
408	cd14701	bZIP_BATF
409	cd14702	bZIP_plant_GBF1
410	cd14703	bZIP_plant_RF2
411	cd14704	bZIP_HY5-like
412	cd14705	bZIP_Zip1
413	cd14706	bZIP_CREBZF
414	cd14707	bZIP_plant_BZIP46
415	cd14708	bZIP_HBP1b-like
416	cd14709	bZIP_CREBL2
417	cd14710	bZIP_HAC1-like
418	cd14711	bZIP_CEBPA
419	cd14712	bZIP_CEBPB
420	cd14713	bZIP_CEBPG
421	cd14714	bZIP_CEBPD
422	cd14715	bZIP_CEBPE
423	cd14716	bZIP_CEBP-like_1
424	cd14717	bZIP_Maf_small
425	cd14718	bZIP_Maf_large
426	cd14719	bZIP_BACH
427	cd14720	bZIP_NFE2-like
428	cd14721	bZIP_Fos
429	cd14722	bZIP_ATF3
430	cd14804	Tra_M
431	cd14809	bZIP_AUREO-like
432	cd14810	bZIP_u1
433	cd14811	bZIP_u2
434	cd14812	bZIP_u3
435	cd14813	bZIP_BmCbz-like
436	cd14946	Tet_JBP
437	cd16100	ARID
438	cd16170	MvaT_DBD
439	cd16845	STAT1_DBD
440	cd16847	STAT3_DBD
441	cd16850	STAT6_DBD
442	cd16864	ARID_JARID
443	cd16865	ARID_ARID1A-like
444	cd16866	ARID_ARID2
445	cd16867	ARID_ARID3
446	cd16868	ARID_ARID4
447	cd16869	ARID_ARID5
448	cd16870	ARID_JARD2
449	cd16871	ARID_Swi1p-like
450	cd16872	ARID_HMGB9-like
451	cd16873	ARID_KDM5A
452	cd16874	ARID_KDM5B
453	cd16875	ARID_KDM5C_5D
454	cd16876	ARID_ARID1A
455	cd16877	ARID_ARID1B
456	cd16878	ARID_ARID3A
457	cd16879	ARID_ARID3B
458	cd16880	ARID_ARID3C
459	cd16881	ARID_Dri-like
460	cd16882	ARID_ARID4A
461	cd16883	ARID_ARID4B
462	cd16884	ARID_ARID5A
463	cd16885	ARID_ARID5B
464	cd17242	MobM_relaxase
465	cd17252	RMtype1_S_EcoKI-TRD1-CR1_like
466	cd17253	RMtype1_S_Eco933I-TRD2-CR2_like
467	cd17261	RMtype1_S_EcoKI-TRD2-CR2_like
468	cd17517	RMtype1_S_EcoKI_StySPI-TRD2-CR2_like
469	cd17521	RMtype1_S_Sau13435ORF2165P_TRD2-CR2_like
470	cd17522	RMtype1_S_MjaORF1531P-TRD1-CR1_like
471	cd17523	RMtype1_S_StySPI-TRD2-CR2_like
472	cd17524	RMtype1_S_EcoUTORF5051P-TRD2-CR2_like
473	cd17525	RMtype1_S_Eco15ORF14057P-TRD1-CR1_like
474	cd17526	RMtype1_S_Cje2232P-TRD2-CR2_like
475	cd17748	BRCT_DNA_ligase_like
476	cd17752	BRCT_RFC1
477	cd17809	HipA_So_like
478	cd17916	DEXHc_UvrB
479	cd17920	DEXHc_RecQ
480	cd17922	DEXHc_LHR-like
481	cd18000	DEXHc_ERCC6
482	cd18012	DEXQc_arch_SWI2_SNF2
483	cd18014	DEXHc_RecQ5
484	cd18015	DEXHc_RecQ1
485	cd18016	DEXHc_RecQ2_BLM
486	cd18017	DEXHc_RecQ3
487	cd18018	DEXHc_RecQ4-like
488	cd18028	DEXHc_archSki2
489	cd18029	DEXHc_XPB
490	cd18641	CBD_RBP1_like
491	cd18642	CBD_MOF_like
492	cd18643	CBD
493	cd18660	CD1_tandem
494	cd18665	CD1_tandem_CHD1_yeast_like
495	cd18666	CD1_tandem_CHD1-2_like
496	cd18786	SF1_C
497	cd18793	SF2_C_SNF
498	cd18794	SF2_C_RecQ
499	cd18795	SF2_C_Ski2
500	cd18796	SF2_C_LHR
501	cd18802	SF2_C_dicer
502	cd18807	SF1_C_UvrD
503	cd18808	SF1_C_Upf1
504	cd18809	SF1_C_RecD
505	cd18892	TET
506	cd18893	TET-like
507	cd18894	JBP-like
508	cd18895	TET1
509	cd18896	TET2
510	cd18897	TET3
511	cd18908	bHLH_SOHLH1_2
512	cd18909	bHLH_TCFL5
513	cd18910	bHLHzip_USF3
514	cd18911	bHLHzip_MGA
515	cd18912	bHLH_TS_bHLHa9
516	cd18913	bHLH-O_hairy_like
517	cd18914	bHLH_AtORG2_like
518	cd18915	bHLH_AtLHW_like
519	cd18916	bHLH-O_ESM5_like
520	cd18917	bHLH_AtSAC51_like
521	cd18918	bHLH_AtMYC1_like
522	cd18919	bHLH_AtBPE_like
523	cd18920	bHLH-O_HEY2
524	cd18921	bHLHzip_SREBP1
525	cd18922	bHLHzip_SREBP2
526	cd18923	bHLHzip_USF2
527	cd18924	bHLHzip_USF1
528	cd18925	bHLHzip_TFEC
529	cd18926	bHLHzip_MITF
530	cd18927	bHLHzip_TFEB
531	cd18928	bHLHzip_TFE3
532	cd18929	bHLHzip_Mad4
533	cd18930	bHLHzip_MXI1
534	cd18931	bHLHzip_Mad1
535	cd18932	bHLHzip_Mad3
536	cd18933	bHLH-O_HES3
537	cd18934	bHLH_TS_MRF4_Myf6
538	cd18935	bHLH_TS_MYOG_Myf4
539	cd18936	bHLH_TS_MYOD1_Myf3
540	cd18937	bHLH_TS_Myf5
541	cd18938	bHLH_TS_Mesp
542	cd18939	bHLH_TS_Msgn1
543	cd18940	bHLH_TS_OLIG2
544	cd18941	bHLH_TS_OLIG3
545	cd18942	bHLH_TS_OLIG1
546	cd18943	bHLH_E-protein_E47-like
547	cd18944	bHLH_E-protein_E2A_TCF3
548	cd18945	bHLH_E-protein_TCF4_E2-2
549	cd18946	bHLH_E-protein_TCF12_HEB
550	cd18947	bHLH-PAS_ARNT
551	cd18948	bHLH-PAS_NCoA1_SRC1
552	cd18949	bHLH-PAS_NCoA3_SRC3
553	cd18950	bHLH-PAS_NCoA2_SRC2
554	cd18951	bHLH_TS_scleraxis
555	cd18952	bHLH_TS_HAND1
556	cd18953	bHLH_TS_bHLHe23_bHLHb4
557	cd18954	bHLH_TS_bHLHe22_bHLHb5
558	cd18983	CBD_MSL3_like
559	cd18984	CBD_MOF_like
560	cd18985	CBD_TIP60_like
561	cd18986	CBD_ESA1_like
562	cd19067	PfuEndoQ-like
563	cd19375	UDG-F3-like_SMUG2
564	cd19513	Rad51
565	cd19682	bHLHzip_MGA_like
566	cd19683	bHLH_SOHLH_like
567	cd19685	bHLH-O_HERP_HES
568	cd19686	bHLH_TS_FERD3L_like
569	cd19687	bHLHzip_Mlx
570	cd19688	bHLHzip_MLXIP
571	cd19689	bHLHzip_MLXIPL
572	cd19690	bHLHzip_spESC1_like
573	cd19696	bHLH-PAS_AhR_like
574	cd19697	bHLH-PAS_NPAS4_PASD10
575	cd19698	bHLH_AtMEE8_like
576	cd19699	bHLH_TS_dMYOD_like
577	cd19700	bHLH_TS_TWIST2
578	cd19701	bHLH_TS_HEN1
579	cd19702	bHLH_TS_HEN2
580	cd19703	bHLH_TS_musculin
581	cd19704	bHLH_TS_TCF21_capsulin
582	cd19705	bHLH_TS_LYL1
583	cd19706	bHLH_TS_TAL1
584	cd19707	bHLH_TS_TAL2
585	cd19708	bHLH_TS_dHLH3B_like
586	cd19709	bHLH_TS_TCF23_OUT
587	cd19710	bHLH_TS_TCF24
588	cd19711	bHLH_TS_MIST1
589	cd19712	bHLH_TS_dimmed_like
590	cd19713	bHLH_TS_ATOH1
591	cd19714	bHLH_TS_ATOH7
592	cd19715	bHLH_TS_amos_like
593	cd19716	bHLH_TS_NGN1_NeuroD3
594	cd19717	bHLH_TS_NGN2_ATOH4
595	cd19718	bHLH_TS_NGN3_ATOH5
596	cd19719	bHLH_TS_NeuroD1
597	cd19720	bHLH_TS_NeuroD2
598	cd19721	bHLH_TS_NeuroD4_ATOH3
599	cd19722	bHLH_TS_NeuroD6_ATOH2
600	cd19723	bHLH_TS_ASCL1_like
601	cd19724	bHLH_TS_ASCL3_like
602	cd19725	bHLH_TS_OLIG2_like
603	cd19726	bHLH-PAS_cycle_like
604	cd19727	bHLH-PAS_HIF1a_PASD8
605	cd19728	bHLH-PAS_HIF2a_PASD2
606	cd19729	bHLH-PAS_HIF3a_PASD7
607	cd19730	bHLH-PAS_spineless_like
608	cd19731	bHLH-PAS_NPAS1_PASD5
609	cd19732	bHLH-PAS_NPAS3_PASD6
610	cd19733	bHLH-PAS_trachealess_like
611	cd19734	bHLH-PAS_CLOCK
612	cd19735	bHLH-PAS_dCLOCK
613	cd19736	bHLH-PAS_PASD1
614	cd19737	bHLH-PAS_NPAS2_PASD4
615	cd19738	bHLH-PAS_SIM1
616	cd19739	bHLH-PAS_SIM2
617	cd19740	bHLH-PAS_dSIM_like
618	cd19741	bHLH-O_ESMB_like
619	cd19742	bHLH_TS_ASCL1_Mash1
620	cd19743	bHLH_TS_ASCL2_Mash2
621	cd19744	bHLH_TS_dAS-C_like
622	cd19745	bHLH_TS_ASCL3
623	cd19746	bHLH_TS_ASCL4
624	cd19747	bHLH_TS_ASCL5
625	cd19748	bHLH-O_HEY1
626	cd19749	bHLH-O_DEC1
627	cd19750	bHLH-O_DEC2
628	cd20015	FH_FOXA
629	cd20016	FH_FOXB
630	cd20017	FH_FOXC
631	cd20018	FH_FOXD
632	cd20019	FH_FOXE
633	cd20020	FH_FOXF
634	cd20021	FH_FOXG
635	cd20022	FH_FOXH
636	cd20023	FH_FOXJ1
637	cd20024	FH_FOXJ2-like
638	cd20025	FH_FOXI
639	cd20026	FH_FOXK
640	cd20027	FH_FOXL1
641	cd20028	FH_FOXL2
642	cd20029	FH_FOXM
643	cd20030	FH_FOXN1-like
644	cd20031	FH_FOXN2-like
645	cd20032	FH_FOXO
646	cd20033	FH_FOXP
647	cd20034	FH_FOXQ1-like
648	cd20035	FH_FOXQ2-like
649	cd20036	FH_FOXR
650	cd20037	FH_FOXS1
651	cd20038	FH_FOXA1
652	cd20039	FH_FOXA2
653	cd20040	FH_FOXA3
654	cd20041	FH_dFKH
655	cd20042	FH_FOXB1
656	cd20043	FH_FOXB2
657	cd20044	FH_FOXC1
658	cd20045	FH_FOXC2
659	cd20046	FH_FOXD1_D2-like
660	cd20047	FH_FOXD3
661	cd20048	FH_FOXD4-like
662	cd20049	FH_FOXF1
663	cd20050	FH_FOXF2
664	cd20051	FH_FOXJ2
665	cd20052	FH_FOXJ3
666	cd20053	FH_FOXI1
667	cd20054	FH_FOXK1
668	cd20055	FH_FOXK2
669	cd20056	FH_FOXN1
670	cd20057	FH_FOXN4
671	cd20058	FH_FOXN2
672	cd20059	FH_FOXN3
673	cd20060	FH_FOXO1
674	cd20061	FH_FOXO3
675	cd20062	FH_FOXO4
676	cd20063	FH_FOXO6
677	cd20064	FH_FOXP1
678	cd20065	FH_FOXP2
679	cd20066	FH_FOXP3
680	cd20067	FH_FOXP4
681	cd20144	PWWP_NSD_rpt1
682	cd20148	PWWP_HDGF
683	cd20149	PWWP_HDGFL2
684	cd20150	PWWP_HDGFL3
685	cd20151	PWWP_PSIP
686	cd20159	PWWP_BS69
687	cd20160	PWWP_PRKCBP1
688	cd20161	PWWP_NSD1_rpt1
689	cd20162	PWWP_NSD2_rpt1
690	cd20163	PWWP_NSD3_rpt1
691	cd20187	T-box_TBX1_10-like
692	cd20188	T-box_TBX2_3-like
693	cd20189	T-box_TBX4_5-like
694	cd20190	T-box_TBX6_VegT-like
695	cd20191	T-box_TBX15_18_22-like
696	cd20192	T-box_TBXT_TBX19-like
697	cd20193	T-box_TBX20-like
698	cd20194	T-box_TBR1_2_21-like
699	cd20195	T-box_MGA-like
700	cd20196	T-box_TBX6
701	cd20197	T-box_VegT-like
702	cd20198	T-box_TBX15-like
703	cd20199	T-box_TBX18_like
704	cd20200	T-box_TBX22-like
705	cd20201	T-box_TBX19-like
706	cd20202	T-box_TBXT
707	cd20203	T-box_TBX21
708	cd20204	T-box_TBR1
709	cd20205	T-box_TBR2
710	cd20280	NotI-like
711	cd20331	JBP-like
712	cd20332	JBP
713	cd20549	CYCLIN_TFIIB_archaea_like_rpt1
714	cd20550	CYCLIN_TFIIB_archaea_like_rpt2
715	cd20551	CYCLIN_TFIIB_rpt1
716	cd20552	CYCLIN_TFIIB_rpt2
717	cd20553	CYCLIN_TFIIIB90_rpt1
718	cd20554	CYCLIN_TFIIIB90_rpt2
719	cd20555	CYCLIN_BRF2
720	cd20681	T-box_Drosocross-like
721	cd20682	T-box-like
722	cd20683	T-box_Fungi_incertae_sedis
723	cd20704	Orc3
724	cd20908	SUF4-like
725	cd21036	WH_MUS81
726	cd21076	DBD_XPA
727	cd21077	DBD_Rad14
728	cd21142	Cas7fv
729	cd21143	Cas5fv
730	cd21631	RHH_CopG_NikR-like
731	cd21834	Hhal-like
732	cd21977	HMG-box_BHMG1
733	cd21978	HMG-box_HMGB_rpt1
734	cd21979	HMG-box_HMGB_rpt2
735	cd21980	HMG-box_HMG20
736	cd21981	HMG-box_HMGXB3
737	cd21982	HMG-box_HMGXB4
738	cd21983	HMG-box_SMARCE1
739	cd21984	HMG-box_PB1
